month_nu	day_nu	p50_va	jday
1	1	3	1
1	2	3.3	2
1	3	3.2	3
1	4	3.2	4
1	5	2.9	5
1	6	3.3	6
1	7	4	7
1	8	3.4	8
1	9	3.6	9
1	10	4.7	10
1	11	3.9	11
1	12	3.2	12
1	13	3.5	13
1	14	4.2	14
1	15	3.4	15
1	16	3.1	16
1	17	3.2	17
1	18	3.1	18
1	19	2.8	19
1	20	3.2	20
1	21	2.9	21
1	22	2.6	22
1	23	3.2	23
1	24	3.7	24
1	25	3.7	25
1	26	3.8	26
1	27	3.5	27
1	28	4	28
1	29	3.3	29
1	30	3.5	30
1	31	2.9	31
2	1	3	32
2	2	3.5	33
2	3	3.7	34
2	4	4.2	35
2	5	4	36
2	6	3.7	37
2	7	3.5	38
2	8	3.6	39
2	9	3.3	40
2	10	2.7	41
2	11	2.3	42
2	12	2.8	43
2	13	3.2	44
2	14	3	45
2	15	2.5	46
2	16	2	47
2	17	0.6	48
2	18	0.2	49
2	19	0.4	50
2	20	0.5	51
2	21	0.9	52
2	22	2	53
2	23	3.7	54
2	24	3.7	55
2	25	2.7	56
2	26	2.8	57
2	27	3.5	58
2	28	4.7	59
3	1	4.8	60
3	2	5.7	61
3	3	5.4	62
3	4	4.8	63
3	5	4.8	64
3	6	4.8	65
3	7	5.5	66
3	8	5.2	67
3	9	4.2	68
3	10	3.8	69
3	11	4	70
3	12	4.9	71
3	13	5.8	72
3	14	6.1	73
3	15	6.1	74
3	16	6	75
3	17	5.8	76
3	18	5.7	77
3	19	6.4	78
3	20	6.5	79
3	21	6.9	80
3	22	7.7	81
3	23	8.2	82
3	24	8.1	83
3	25	8	84
3	26	7.7	85
3	27	8.3	86
3	28	9.1	87
3	29	8.7	88
3	30	8.3	89
3	31	7.6	90
4	1	7.4	91
4	2	6.9	92
4	3	7.3	93
4	4	7.4	94
4	5	7.7	95
4	6	7.5	96
4	7	7.8	97
4	8	8	98
4	9	7.9	99
4	10	7.5	100
4	11	7.7	101
4	12	7.9	102
4	13	7.9	103
4	14	7.8	104
4	15	7	105
4	16	6.5	106
4	17	7.1	107
4	18	8	108
4	19	9.3	109
4	20	10.2	110
4	21	10.2	111
4	22	8.9	112
4	23	9.5	113
4	24	10.7	114
4	25	10.1	115
4	26	10	116
4	27	9.7	117
4	28	11.2	118
4	29	11.1	119
4	30	9.4	120
5	1	10.1	121
5	2	10.2	122
5	3	10.1	123
5	4	10.4	124
5	5	10.3	125
5	6	9.6	126
5	7	9.7	127
5	8	9.1	128
5	9	9.3	129
5	10	10.2	130
5	11	10.7	131
5	12	10.4	132
5	13	10	133
5	14	11.4	134
5	15	11.7	135
5	16	12.7	136
5	17	12.6	137
5	18	12.1	138
5	19	11.6	139
5	20	11.1	140
5	21	10.7	141
5	22	11.2	142
5	23	12.3	143
5	24	11.7	144
5	25	11.8	145
5	26	12.3	146
5	27	11.1	147
5	28	13.2	148
5	29	13.9	149
5	30	14.3	150
5	31	14	151
6	1	13.8	152
6	2	13.7	153
6	3	13.7	154
6	4	13.6	155
6	5	13.8	156
6	6	13.1	157
6	7	13.6	158
6	8	13.7	159
6	9	13.5	160
6	10	14.1	161
6	11	14.2	162
6	12	14.5	163
6	13	13.7	164
6	14	13.8	165
6	15	13.7	166
6	16	14.3	167
6	17	14.4	168
6	18	14.4	169
6	19	14.7	170
6	20	15.3	171
6	21	15.1	172
6	22	15.2	173
6	23	15.4	174
6	24	16.4	175
6	25	16.9	176
6	26	17.6	177
6	27	17.1	178
6	28	16.4	179
6	29	16.9	180
6	30	16.4	181
7	1	17.2	182
7	2	17.2	183
7	3	17.2	184
7	4	18.2	185
7	5	18.2	186
7	6	16.3	187
7	7	15.9	188
7	8	16.6	189
7	9	16.6	190
7	10	16.9	191
7	11	17	192
7	12	17.1	193
7	13	17.1	194
7	14	17.2	195
7	15	18	196
7	16	18.4	197
7	17	18.2	198
7	18	17.5	199
7	19	17.9	200
7	20	18.1	201
7	21	18.1	202
7	22	17.9	203
7	23	17.6	204
7	24	18.4	205
7	25	18.2	206
7	26	18.6	207
7	27	19.1	208
7	28	19.6	209
7	29	18.3	210
7	30	18.2	211
7	31	18.5	212
8	1	18.1	213
8	2	17.9	214
8	3	17.7	215
8	4	17.7	216
8	5	18	217
8	6	18.5	218
8	7	19.3	219
8	8	19.4	220
8	9	19.4	221
8	10	19.3	222
8	11	19.5	223
8	12	19.5	224
8	13	19.6	225
8	14	19.3	226
8	15	19.6	227
8	16	20.3	228
8	17	20.1	229
8	18	20	230
8	19	19.6	231
8	20	19.6	232
